vendor_product_id,product_name,category,subcategory,description,sku,brand,price,compare_at_price,stock_quantity,unit,weight_kg,dimensions_cm,image_url
PROD0001,Cookware Set 10-Piece - Model 637,Kitchen,,"Cookware Set 10-Piece. Features: Non-Stick, Dishwasher Safe, Induction Ready. Brand: HomeEssentials. Perfect for everyday use.",K-VEND003-0001,HomeEssentials,137.46,199.99,364,piece,3.21,44x15x25,https://cdn.example.com/products/vend003/k-vend003-0001.jpg
PROD0002,Knife Set 15-Piece - Model 584,Kitchen,,"Knife Set 15-Piece. Features: Stainless Steel, Block Included, Sharp. Brand: HomeEssentials. Perfect for everyday use.",K-VEND003-0002,HomeEssentials,95.94,129.99,368,piece,3.95,13x12x29,https://cdn.example.com/products/vend003/k-vend003-0002.jpg
PROD0003,Blender High-Speed - Model 357,Kitchen,,"Blender High-Speed. Features: 1000W, 6 Blades, BPA-Free. Brand: HomeEssentials. Perfect for everyday use.",K-VEND003-0003,HomeEssentials,83.14,,281,piece,4.58,22x40x29,https://cdn.example.com/products/vend003/k-vend003-0003.jpg
PROD0004,Coffee Maker 12-Cup - Model 514,Kitchen,,"Coffee Maker 12-Cup. Features: Programmable, Auto Shutoff, Pause Serve. Brand: HomeEssentials. Perfect for everyday use.",K-VEND003-0004,HomeEssentials,55.81,79.99,183,piece,4.38,50x40x23,https://cdn.example.com/products/vend003/k-vend003-0004.jpg
PROD0005,Toaster 4-Slice - Model 721,Kitchen,,"Toaster 4-Slice. Features: Wide Slots, Bagel Setting, Stainless Steel. Brand: HomeEssentials. Perfect for everyday use.",K-VEND003-0005,HomeEssentials,41.86,64.99,328,piece,0.29,11x32x13,https://cdn.example.com/products/vend003/k-vend003-0005.jpg
PROD0006,Mixing Bowl Set - Model 763,Kitchen,,"Mixing Bowl Set. Features: Stainless Steel, Nesting, 5 Sizes. Brand: HomeEssentials. Perfect for everyday use.",K-VEND003-0006,HomeEssentials,37.54,49.99,-5,piece,2.86,33x31x23,https://cdn.example.com/products/vend003/k-vend003-0006.jpg
PROD0007,Cutting Board Set - Model 968,Kitchen,,"Cutting Board Set. Features: Bamboo, 3 Sizes, Juice Groove. Brand: HomeEssentials. Perfect for everyday use.",K-VEND003-0006,HomeEssentials,30.06,39.99,330,piece,1.1,46x25x20,https://cdn.example.com/products/vend003/k-vend003-0007.jpg
PROD0008,Dish Rack - Model 185,Kitchen,,"Dish Rack. Features: Stainless Steel, Drainboard, Cutlery Holder. Brand: HomeEssentials. Perfect for everyday use.",K-VEND003-0008,HomeEssentials,25.96,34.99,129,piece,4.84,16x36x10,https://cdn.example.com/products/vend003/k-vend003-0008.jpg
PROD0009,Storage Container Set - Model 932,Kitchen,,"Storage Container Set. Features: BPA-Free, Airtight, 20 Piece. Brand: HomeEssentials. Perfect for everyday use.",K-VEND003-0009,HomeEssentials,37.35,54.99,219,piece,1.31,28x28x28,https://cdn.example.com/products/vend003/k-vend003-0009.jpg
PROD0010,Spice Rack - Model 261,Kitchen,,"Spice Rack. Features: Rotating, 16 Jars, Wall Mountable. Brand: HomeEssentials. Perfect for everyday use.",K-VEND003-0010,HomeEssentials,37.35,44.99,274,piece,0.2,18x31x26,https://cdn.example.com/products/vend003/k-vend003-0010.jpg
PROD0011,Pillow Set Queen - Model 691,Bedroom,,"Pillow Set Queen. Features: Memory Foam, Cooling, 2 Pack. Brand: HomeEssentials. Perfect for everyday use.",B-VEND003-0011,HomeEssentials,41.26,64.99,19,piece,1.96,21x22x23,https://cdn.example.com/products/vend003/b-vend003-0011.jpg
PROD0012,Comforter King - Model 588,Bedroom,,"Comforter King. Features: Down Alternative, All Season, Machine Washable. Brand: HomeEssentials. Perfect for everyday use.",B-VEND003-0012,HomeEssentials,89.91,119.99,154,piece,2.67,44x11x5,https://cdn.example.com/products/vend003/b-vend003-0012.jpg
PROD0013,Sheet Set California King - Model 467,Bedroom,,"Sheet Set California King. Features: Microfiber, Deep Pocket, 6 Piece. Brand: HomeEssentials. Perfect for everyday use.",B-VEND003-0013,HomeEssentials,50.08,74.99,424,piece,2.33,13x15x7,https://cdn.example.com/products/vend003/b-vend003-0013.jpg
PROD0014,Mattress Topper Queen - Model 525,Bedroom,,"Mattress Topper Queen. Features: Memory Foam, 3 Inch, Cooling Gel. Brand: HomeEssentials. Perfect for everyday use.",B-VEND003-0014,HomeEssentials,83.63,109.99,13,piece,2.19,33x13x23,https://cdn.example.com/products/vend003/b-vend003-0014.jpg
PROD0015,Bedside Lamp - Model 279,Bedroom,,"Bedside Lamp. Features: Touch Control, USB Port, LED. Brand: HomeEssentials. Perfect for everyday use.",B-VEND003-0015,HomeEssentials,37.35,49.99,104,piece,3.53,35x20x22,https://cdn.example.com/products/vend003/b-vend003-0015.jpg
