order_id,customer_id,order_date,status,total_amount
ORD0000001,CUST000010,2025-12-24 15:01:52,shipped,2785.0
ORD0000002,CUST000111,2024-06-08 10:35:50,pending,1855.03
ORD0000003,CUST000011,2025-03-30 13:19:20,shipped,1285.17
ORD0000004,CUST000027,2024-12-07 07:57:12,delivered,4426.47
ORD0000005,CUST000105,2025-12-04 12:16:01,delivered,4632.53
ORD0000006,CUST000061,2024-08-27 01:54:24,returned,4063.32
ORD0000007,CUST000106,2024-01-31 06:03:43,shipped,4626.21
ORD0000008,CUST000106,2025-09-26 02:45:27,delivered,3688.53
ORD0000009,CUST000064,2024-11-27 08:45:05,shipped,3521.33
ORD0000010,CUST000098,2025-12-29 12:53:15,pending,2379.92
ORD0000011,CUST000052,2026-01-04 11:45:03,canceled,1780.81
ORD0000012,CUST000059,2025-12-14 14:19:12,pending,1005.99
ORD0000013,CUST000085,2025-08-01 19:52:07,canceled,4836.1
ORD0000014,CUST000072,2025-11-02 06:53:06,delivered,2028.41
ORD0000015,CUST000138,2025-12-23 10:32:08,canceled,620.94
ORD0000016,CUST000067,2025-03-18 23:17:30,delivered,4918.58
ORD0000017,CUST000010,2025-08-05 14:43:44,delivered,1761.15
ORD0000018,CUST000081,2025-12-02 12:41:20,delivered,2581.54
ORD0000019,CUST000099,2025-04-07 23:02:39,shipped,3558.49
ORD0000020,CUST000001,2025-03-04 16:12:56,canceled,2715.34
ORD0000021,CUST000185,2025-07-05 17:18:33,shipped,396.37
ORD0000022,CUST000171,2024-12-30 18:30:28,delivered,3333.77
ORD0000023,CUST000032,2025-10-26 04:36:19,shipped,3351.12
ORD0000024,CUST000084,2025-08-03 15:21:39,delivered,2794.34
ORD0000025,CUST000050,2025-10-05 13:54:18,delivered,1926.77
ORD0000026,CUST000192,2024-06-23 19:54:19,delivered,1539.7
ORD0000027,CUST000141,2024-07-30 17:16:27,shipped,1090.4
ORD0000028,CUST000149,2025-11-25 18:19:08,delivered,2351.69
ORD0000029,CUST000114,2025-11-29 10:53:02,shipped,2392.27
ORD0000030,CUST000189,2024-11-28 06:28:47,delivered,1454.74
ORD0000031,CUST000170,2025-10-06 03:46:27,delivered,512.27
ORD0000032,CUST000193,2025-03-22 22:10:34,delivered,1161.97
ORD0000033,CUST000051,2024-06-20 06:41:09,pending,1261.97
ORD0000034,CUST000122,2025-07-10 17:11:48,shipped,4436.38
ORD0000035,CUST000148,2024-07-19 20:08:13,delivered,1950.69
ORD0000036,CUST000103,2025-04-02 12:32:06,processing,3453.73
ORD0000037,CUST000193,2024-12-13 06:50:22,delivered,1133.26
ORD0000038,CUST000179,2026-01-04 18:27:54,processing,1283.53
ORD0000039,CUST000032,2025-11-25 12:16:06,processing,2349.98
ORD0000040,CUST000136,2025-08-22 16:31:54,delivered,4752.7
ORD0000041,CUST000114,2025-11-17 05:23:58,delivered,4465.5
ORD0000042,CUST000110,2025-12-27 07:21:48,shipped,837.83
ORD0000043,CUST000122,2025-12-04 05:20:34,shipped,1273.84
ORD0000044,CUST000164,2025-09-26 19:54:21,delivered,2630.43
ORD0000045,CUST000161,2024-12-15 21:29:50,shipped,433.54
ORD0000046,CUST000074,2024-10-01 04:43:26,shipped,1632.56
ORD0000047,CUST000139,2024-07-14 21:05:55,processing,1194.74
ORD0000048,CUST000178,2025-08-06 12:05:03,delivered,367.93
ORD0000049,CUST000105,2025-08-13 23:19:14,shipped,2108.08
ORD0000050,CUST000053,2025-05-11 21:39:09,shipped,3860.49
ORD0000051,CUST000179,2025-12-30 08:50:39,canceled,3839.69
ORD0000052,CUST000098,2025-10-13 19:10:57,pending,1791.21
ORD0000053,CUST000193,2025-07-21 09:47:10,canceled,4769.48
ORD0000054,CUST000108,2025-08-24 06:54:23,delivered,2753.35
ORD0000055,CUST000155,2025-05-05 08:01:29,shipped,1401.03
ORD0000056,CUST000125,2025-09-24 21:21:18,shipped,3360.92
ORD0000057,CUST000104,2025-06-10 11:09:41,delivered,4601.73
